Gene,Gene Identifier,Number of AT Sites,AT Coordinates
"ABC transporter, permease protein 1",RAST2:fig|442.17.peg.2409,68,"1557818, 1557824, 1557836, 1557837, 1557841, 1557860, 1557861, 1557873, 1557882, 1557887, 1557898, 1557908, 1557909, 1557932, 1557939, 1557962, 1557967, 1557994, 1558010, 1558015, 1558016, 1558026, 1558061, 1558076, 1558103, 1558173, 1558180, 1558208, 1558246, 1558258, 1558259, 1558283, 1558290, 1558291, 1558344, 1558349, 1558357, 1558367, 1558396, 1558412, 1558424, 1558443, 1558444, 1558447, 1558448, 1558460, 1558480, 1558481, 1558486, 1558487, 1558503, 1558511, 1558554, 1558556, 1558559, 1558560, 1558615, 1558618, 1558619, 1558628, 1558629, 1558654, 1558676, 1558690, 1558694, 1558698, 1558712, 1558758"
"ABC transporter, substrate-binding protein",RAST2:fig|442.17.peg.2410,135,"1558777, 1558783, 1558795, 1558796, 1558800, 1558819, 1558820, 1558832, 1558841, 1558846, 1558857, 1558867, 1558868, 1558891, 1558898, 1558921, 1558926, 1558953, 1558969, 1558974, 1558975, 1558985, 1559020, 1559035, 1559062, 1559132, 1559139, 1559167, 1559205, 1559217, 1559218, 1559242, 1559249, 1559250, 1559303, 1559308, 1559316, 1559326, 1559355, 1559371, 1559383, 1559402, 1559403, 1559406, 1559407, 1559419, 1559439, 1559440, 1559445, 1559446, 1559462, 1559470, 1559513, 1559515, 1559518, 1559519, 1559574, 1559577, 1559578, 1559587, 1559588, 1559613, 1559635, 1559649, 1559653, 1559657, 1559671, 1559717, 1559790, 1559805, 1559811, 1559827, 1559829, 1559832, 1559833, 1559834, 1559835, 1559844, 1559860, 1559879, 1559880, 1559889, 1559890, 1559904, 1559910, 1559911, 1559913, 1559922, 1559925, 1559938, 1559942, 1559943, 1559962, 1559963, 1559967, 1559971, 1559972, 1559982, 1559983, 1559995, 1559998, 1559999, 1560007, 1560011, 1560012, 1560022, 1560033, 1560036, 1560043, 1560052, 1560054, 1560058, 1560063, 1560074, 1560085, 1560091, 1560101, 1560118, 1560126, 1560127, 1560143, 1560152, 1560179, 1560207, 1560208, 1560241, 1560244, 1560252, 1560320, 1560321, 1560322, 1560364, 1560373, 1560384, 1560388"
hypothetical protein,RAST2:fig|442.17.peg.2411,212,"1560726, 1560732, 1560744, 1560745, 1560749, 1560768, 1560769, 1560781, 1560790, 1560795, 1560806, 1560816, 1560817, 1560840, 1560847, 1560870, 1560875, 1560902, 1560918, 1560923, 1560924, 1560934, 1560969, 1560984, 1561011, 1561081, 1561088, 1561116, 1561154, 1561166, 1561167, 1561191, 1561198, 1561199, 1561252, 1561257, 1561265, 1561275, 1561304, 1561320, 1561332, 1561351, 1561352, 1561355, 1561356, 1561368, 1561388, 1561389, 1561394, 1561395, 1561411, 1561419, 1561462, 1561464, 1561467, 1561468, 1561523, 1561526, 1561527, 1561536, 1561537, 1561562, 1561584, 1561598, 1561602, 1561606, 1561620, 1561666, 1561739, 1561754, 1561760, 1561776, 1561778, 1561781, 1561782, 1561783, 1561784, 1561793, 1561809, 1561828, 1561829, 1561838, 1561839, 1561853, 1561859, 1561860, 1561862, 1561871, 1561874, 1561887, 1561891, 1561892, 1561911, 1561912, 1561916, 1561920, 1561921, 1561931, 1561932, 1561944, 1561947, 1561948, 1561956, 1561960, 1561961, 1561971, 1561982, 1561985, 1561992, 1562001, 1562003, 1562007, 1562012, 1562023, 1562034, 1562040, 1562050, 1562067, 1562075, 1562076, 1562092, 1562101, 1562128, 1562156, 1562157, 1562190, 1562193, 1562201, 1562269, 1562270, 1562271, 1562313, 1562322, 1562333, 1562337, 1562368, 1562369, 1562370, 1562389, 1562394, 1562464, 1562498, 1562512, 1562519, 1562522, 1562527, 1562535, 1562540, 1562575, 1562578, 1562600, 1562627, 1562685, 1562686, 1562687, 1562723, 1562748, 1562755, 1562772, 1562774, 1562804, 1562805, 1562806, 1562810, 1562828, 1562829, 1562839, 1562843, 1562870, 1562898, 1562909, 1562910, 1562915, 1562916, 1562937, 1562950, 1562959, 1562966, 1562973, 1562974, 1562976, 1563031, 1563046, 1563050, 1563051, 1563058, 1563068, 1563074, 1563090, 1563094, 1563107, 1563120, 1563123, 1563124, 1563159, 1563163, 1563184, 1563214, 1563215, 1563216, 1563232, 1563244, 1563275, 1563294, 1563309, 1563315, 1563319, 1563323, 1563330, 1563338, 1563366, 1563388"
FIG00537953: hypothetical protein,RAST2:fig|442.17.peg.2412,45,"1563434, 1563440, 1563452, 1563453, 1563457, 1563476, 1563477, 1563489, 1563498, 1563503, 1563514, 1563524, 1563525, 1563548, 1563555, 1563578, 1563583, 1563610, 1563626, 1563631, 1563632, 1563642, 1563677, 1563692, 1563719, 1563789, 1563796, 1563824, 1563862, 1563874, 1563875, 1563899, 1563906, 1563907, 1563960, 1563965, 1563973, 1563983, 1564012, 1564028, 1564040, 1564059, 1564060, 1564063, 1564064"
Bll6900 protein,RAST2:fig|442.17.peg.2413,41,"1564081, 1564087, 1564099, 1564100, 1564104, 1564123, 1564124, 1564136, 1564145, 1564150, 1564161, 1564171, 1564172, 1564195, 1564202, 1564225, 1564230, 1564257, 1564273, 1564278, 1564279, 1564289, 1564324, 1564339, 1564366, 1564436, 1564443, 1564471, 1564509, 1564521, 1564522, 1564546, 1564553, 1564554, 1564607, 1564612, 1564620, 1564630, 1564659, 1564675, 1564687"
Alkanal monooxygenase alpha chain,RAST2:fig|442.17.peg.2414,68,"1564795, 1564801, 1564813, 1564814, 1564818, 1564837, 1564838, 1564850, 1564859, 1564864, 1564875, 1564885, 1564886, 1564909, 1564916, 1564939, 1564944, 1564971, 1564987, 1564992, 1564993, 1565003, 1565038, 1565053, 1565080, 1565150, 1565157, 1565185, 1565223, 1565235, 1565236, 1565260, 1565267, 1565268, 1565321, 1565326, 1565334, 1565344, 1565373, 1565389, 1565401, 1565420, 1565421, 1565424, 1565425, 1565437, 1565457, 1565458, 1565463, 1565464, 1565480, 1565488, 1565531, 1565533, 1565536, 1565537, 1565592, 1565595, 1565596, 1565605, 1565606, 1565631, 1565653, 1565667, 1565671, 1565675, 1565689, 1565735"
Mobile element protein,RAST2:fig|442.17.peg.2415,28,"1565931, 1565937, 1565949, 1565950, 1565954, 1565973, 1565974, 1565986, 1565995, 1566000, 1566011, 1566021, 1566022, 1566045, 1566052, 1566075, 1566080, 1566107, 1566123, 1566128, 1566129, 1566139, 1566174, 1566189, 1566216, 1566286, 1566293, 1566321"
Mobile element protein,RAST2:fig|442.17.peg.2416,25,"1566374, 1566380, 1566392, 1566393, 1566397, 1566416, 1566417, 1566429, 1566438, 1566443, 1566454, 1566464, 1566465, 1566488, 1566495, 1566518, 1566523, 1566550, 1566566, 1566571, 1566572, 1566582, 1566617, 1566632, 1566659"
transposase,RAST2:fig|442.17.peg.2417,13,"1566824, 1566830, 1566842, 1566843, 1566847, 1566866, 1566867, 1566879, 1566888, 1566893, 1566904, 1566914, 1566915"
hypothetical protein,RAST2:fig|442.17.peg.2428,10,"1566944, 1566950, 1566962, 1566963, 1566967, 1566986, 1566987, 1566999, 1567008, 1567013"
Ribonucleotide reductase of class Ia,RAST2:fig|442.17.peg.2429,68,"1567086, 1567092, 1567104, 1567105, 1567109, 1567128, 1567129, 1567141, 1567150, 1567155, 1567166, 1567176, 1567177, 1567200, 1567207, 1567230, 1567235, 1567262, 1567278, 1567283, 1567284, 1567294, 1567329, 1567344, 1567371, 1567441, 1567448, 1567476, 1567514, 1567526, 1567527, 1567551, 1567558, 1567559, 1567612, 1567617, 1567625, 1567635, 1567664, 1567680, 1567692, 1567711, 1567712, 1567715, 1567716, 1567728, 1567748, 1567749, 1567754, 1567755, 1567771, 1567779, 1567822, 1567824, 1567827, 1567828, 1567883, 1567886, 1567887, 1567896, 1567897, 1567922, 1567944, 1567958, 1567962, 1567966, 1567980, 1568026"
Ribonucleotide reductase of class Ia,RAST2:fig|442.17.peg.2430,155,"1568131, 1568137, 1568149, 1568150, 1568154, 1568173, 1568174, 1568186, 1568195, 1568200, 1568211, 1568221, 1568222, 1568245, 1568252, 1568275, 1568280, 1568307, 1568323, 1568328, 1568329, 1568339, 1568374, 1568389, 1568416, 1568486, 1568493, 1568521, 1568559, 1568571, 1568572, 1568596, 1568603, 1568604, 1568657, 1568662, 1568670, 1568680, 1568709, 1568725, 1568737, 1568756, 1568757, 1568760, 1568761, 1568773, 1568793, 1568794, 1568799, 1568800, 1568816, 1568824, 1568867, 1568869, 1568872, 1568873, 1568928, 1568931, 1568932, 1568941, 1568942, 1568967, 1568989, 1569003, 1569007, 1569011, 1569025, 1569071, 1569144, 1569159, 1569165, 1569181, 1569183, 1569186, 1569187, 1569188, 1569189, 1569198, 1569214, 1569233, 1569234, 1569243, 1569244, 1569258, 1569264, 1569265, 1569267, 1569276, 1569279, 1569292, 1569296, 1569297, 1569316, 1569317, 1569321, 1569325, 1569326, 1569336, 1569337, 1569349, 1569352, 1569353, 1569361, 1569365, 1569366, 1569376, 1569387, 1569390, 1569397, 1569406, 1569408, 1569412, 1569417, 1569428, 1569439, 1569445, 1569455, 1569472, 1569480, 1569481, 1569497, 1569506, 1569533, 1569561, 1569562, 1569595, 1569598, 1569606, 1569674, 1569675, 1569676, 1569718, 1569727, 1569738, 1569742, 1569773, 1569774, 1569775, 1569794, 1569799, 1569869, 1569903, 1569917, 1569924, 1569927, 1569932, 1569940, 1569945, 1569980, 1569983, 1570005, 1570032, 1570090, 1570091, 1570092"
Peroxiredoxin OsmC,RAST2:fig|442.17.peg.2431,28,"1570446, 1570452, 1570464, 1570465, 1570469, 1570488, 1570489, 1570501, 1570510, 1570515, 1570526, 1570536, 1570537, 1570560, 1570567, 1570590, 1570595, 1570622, 1570638, 1570643, 1570644, 1570654, 1570689, 1570704, 1570731, 1570801, 1570808, 1570836"
Chorismate synthase,RAST2:fig|442.17.peg.2432,78,"1570902, 1570908, 1570920, 1570921, 1570925, 1570944, 1570945, 1570957, 1570966, 1570971, 1570982, 1570992, 1570993, 1571016, 1571023, 1571046, 1571051, 1571078, 1571094, 1571099, 1571100, 1571110, 1571145, 1571160, 1571187, 1571257, 1571264, 1571292, 1571330, 1571342, 1571343, 1571367, 1571374, 1571375, 1571428, 1571433, 1571441, 1571451, 1571480, 1571496, 1571508, 1571527, 1571528, 1571531, 1571532, 1571544, 1571564, 1571565, 1571570, 1571571, 1571587, 1571595, 1571638, 1571640, 1571643, 1571644, 1571699, 1571702, 1571703, 1571712, 1571713, 1571738, 1571760, 1571774, 1571778, 1571782, 1571796, 1571842, 1571915, 1571930, 1571936, 1571952, 1571954, 1571957, 1571958, 1571959, 1571960, 1571969"
Enoyl-[acyl-carrier-protein] reductase [NADH],RAST2:fig|442.17.peg.2433,62,"1571986, 1571992, 1572004, 1572005, 1572009, 1572028, 1572029, 1572041, 1572050, 1572055, 1572066, 1572076, 1572077, 1572100, 1572107, 1572130, 1572135, 1572162, 1572178, 1572183, 1572184, 1572194, 1572229, 1572244, 1572271, 1572341, 1572348, 1572376, 1572414, 1572426, 1572427, 1572451, 1572458, 1572459, 1572512, 1572517, 1572525, 1572535, 1572564, 1572580, 1572592, 1572611, 1572612, 1572615, 1572616, 1572628, 1572648, 1572649, 1572654, 1572655, 1572671, 1572679, 1572722, 1572724, 1572727, 1572728, 1572783, 1572786, 1572787, 1572796, 1572797, 1572822"
hypothetical protein,RAST2:fig|442.17.peg.2434,36,"1572982, 1572988, 1573000, 1573001, 1573005, 1573024, 1573025, 1573037, 1573046, 1573051, 1573062, 1573072, 1573073, 1573096, 1573103, 1573126, 1573131, 1573158, 1573174, 1573179, 1573180, 1573190, 1573225, 1573240, 1573267, 1573337, 1573344, 1573372, 1573410, 1573422, 1573423, 1573447, 1573454, 1573455, 1573508, 1573513"
Pyridoxamine 5'-phosphate oxidase,RAST2:fig|442.17.peg.2435,39,"1573654, 1573660, 1573672, 1573673, 1573677, 1573696, 1573697, 1573709, 1573718, 1573723, 1573734, 1573744, 1573745, 1573768, 1573775, 1573798, 1573803, 1573830, 1573846, 1573851, 1573852, 1573862, 1573897, 1573912, 1573939, 1574009, 1574016, 1574044, 1574082, 1574094, 1574095, 1574119, 1574126, 1574127, 1574180, 1574185, 1574193, 1574203, 1574232"
hypothetical protein,RAST2:fig|442.17.peg.2436,64,"1574305, 1574311, 1574323, 1574324, 1574328, 1574347, 1574348, 1574360, 1574369, 1574374, 1574385, 1574395, 1574396, 1574419, 1574426, 1574449, 1574454, 1574481, 1574497, 1574502, 1574503, 1574513, 1574548, 1574563, 1574590, 1574660, 1574667, 1574695, 1574733, 1574745, 1574746, 1574770, 1574777, 1574778, 1574831, 1574836, 1574844, 1574854, 1574883, 1574899, 1574911, 1574930, 1574931, 1574934, 1574935, 1574947, 1574967, 1574968, 1574973, 1574974, 1574990, 1574998, 1575041, 1575043, 1575046, 1575047, 1575102, 1575105, 1575106, 1575115, 1575116, 1575141, 1575163, 1575177"
hypothetical protein,RAST2:fig|442.17.peg.2437,52,"1575232, 1575238, 1575250, 1575251, 1575255, 1575274, 1575275, 1575287, 1575296, 1575301, 1575312, 1575322, 1575323, 1575346, 1575353, 1575376, 1575381, 1575408, 1575424, 1575429, 1575430, 1575440, 1575475, 1575490, 1575517, 1575587, 1575594, 1575622, 1575660, 1575672, 1575673, 1575697, 1575704, 1575705, 1575758, 1575763, 1575771, 1575781, 1575810, 1575826, 1575838, 1575857, 1575858, 1575861, 1575862, 1575874, 1575894, 1575895, 1575900, 1575901, 1575917, 1575925"
3-deoxy-D-manno-octulosonic acid transferase,RAST2:fig|442.17.peg.2438,150,"1576031, 1576037, 1576049, 1576050, 1576054, 1576073, 1576074, 1576086, 1576095, 1576100, 1576111, 1576121, 1576122, 1576145, 1576152, 1576175, 1576180, 1576207, 1576223, 1576228, 1576229, 1576239, 1576274, 1576289, 1576316, 1576386, 1576393, 1576421, 1576459, 1576471, 1576472, 1576496, 1576503, 1576504, 1576557, 1576562, 1576570, 1576580, 1576609, 1576625, 1576637, 1576656, 1576657, 1576660, 1576661, 1576673, 1576693, 1576694, 1576699, 1576700, 1576716, 1576724, 1576767, 1576769, 1576772, 1576773, 1576828, 1576831, 1576832, 1576841, 1576842, 1576867, 1576889, 1576903, 1576907, 1576911, 1576925, 1576971, 1577044, 1577059, 1577065, 1577081, 1577083, 1577086, 1577087, 1577088, 1577089, 1577098, 1577114, 1577133, 1577134, 1577143, 1577144, 1577158, 1577164, 1577165, 1577167, 1577176, 1577179, 1577192, 1577196, 1577197, 1577216, 1577217, 1577221, 1577225, 1577226, 1577236, 1577237, 1577249, 1577252, 1577253, 1577261, 1577265, 1577266, 1577276, 1577287, 1577290, 1577297, 1577306, 1577308, 1577312, 1577317, 1577328, 1577339, 1577345, 1577355, 1577372, 1577380, 1577381, 1577397, 1577406, 1577433, 1577461, 1577462, 1577495, 1577498, 1577506, 1577574, 1577575, 1577576, 1577618, 1577627, 1577638, 1577642, 1577673, 1577674, 1577675, 1577694, 1577699, 1577769, 1577803, 1577817, 1577824, 1577827, 1577832, 1577840, 1577845, 1577880, 1577883"
Tetraacyldisaccharide 4'-kinase,RAST2:fig|442.17.peg.2439,68,"1577908, 1577914, 1577926, 1577927, 1577931, 1577950, 1577951, 1577963, 1577972, 1577977, 1577988, 1577998, 1577999, 1578022, 1578029, 1578052, 1578057, 1578084, 1578100, 1578105, 1578106, 1578116, 1578151, 1578166, 1578193, 1578263, 1578270, 1578298, 1578336, 1578348, 1578349, 1578373, 1578380, 1578381, 1578434, 1578439, 1578447, 1578457, 1578486, 1578502, 1578514, 1578533, 1578534, 1578537, 1578538, 1578550, 1578570, 1578571, 1578576, 1578577, 1578593, 1578601, 1578644, 1578646, 1578649, 1578650, 1578705, 1578708, 1578709, 1578718, 1578719, 1578744, 1578766, 1578780, 1578784, 1578788, 1578802, 1578848"
Lipid A biosynthesis lauroyl acyltransferase,RAST2:fig|442.17.peg.2440,67,"1578888, 1578894, 1578906, 1578907, 1578911, 1578930, 1578931, 1578943, 1578952, 1578957, 1578968, 1578978, 1578979, 1579002, 1579009, 1579032, 1579037, 1579064, 1579080, 1579085, 1579086, 1579096, 1579131, 1579146, 1579173, 1579243, 1579250, 1579278, 1579316, 1579328, 1579329, 1579353, 1579360, 1579361, 1579414, 1579419, 1579427, 1579437, 1579466, 1579482, 1579494, 1579513, 1579514, 1579517, 1579518, 1579530, 1579550, 1579551, 1579556, 1579557, 1579573, 1579581, 1579624, 1579626, 1579629, 1579630, 1579685, 1579688, 1579689, 1579698, 1579699, 1579724, 1579746, 1579760, 1579764, 1579768, 1579782"
hypothetical protein,RAST2:fig|442.17.peg.2441,27,"1579968, 1579974, 1579986, 1579987, 1579991, 1580010, 1580011, 1580023, 1580032, 1580037, 1580048, 1580058, 1580059, 1580082, 1580089, 1580112, 1580117, 1580144, 1580160, 1580165, 1580166, 1580176, 1580211, 1580226, 1580253, 1580323, 1580330"
"ABC transporter, substrate-binding protein",RAST2:fig|442.17.peg.2442,118,"1580437, 1580443, 1580455, 1580456, 1580460, 1580479, 1580480, 1580492, 1580501, 1580506, 1580517, 1580527, 1580528, 1580551, 1580558, 1580581, 1580586, 1580613, 1580629, 1580634, 1580635, 1580645, 1580680, 1580695, 1580722, 1580792, 1580799, 1580827, 1580865, 1580877, 1580878, 1580902, 1580909, 1580910, 1580963, 1580968, 1580976, 1580986, 1581015, 1581031, 1581043, 1581062, 1581063, 1581066, 1581067, 1581079, 1581099, 1581100, 1581105, 1581106, 1581122, 1581130, 1581173, 1581175, 1581178, 1581179, 1581234, 1581237, 1581238, 1581247, 1581248, 1581273, 1581295, 1581309, 1581313, 1581317, 1581331, 1581377, 1581450, 1581465, 1581471, 1581487, 1581489, 1581492, 1581493, 1581494, 1581495, 1581504, 1581520, 1581539, 1581540, 1581549, 1581550, 1581564, 1581570, 1581571, 1581573, 1581582, 1581585, 1581598, 1581602, 1581603, 1581622, 1581623, 1581627, 1581631, 1581632, 1581642, 1581643, 1581655, 1581658, 1581659, 1581667, 1581671, 1581672, 1581682, 1581693, 1581696, 1581703, 1581712, 1581714, 1581718, 1581723, 1581734, 1581745, 1581751, 1581761, 1581778"
16S rRNA,RAST2:fig|442.17.peg.2443,67,"1581801, 1581807, 1581819, 1581820, 1581824, 1581843, 1581844, 1581856, 1581865, 1581870, 1581881, 1581891, 1581892, 1581915, 1581922, 1581945, 1581950, 1581977, 1581993, 1581998, 1581999, 1582009, 1582044, 1582059, 1582086, 1582156, 1582163, 1582191, 1582229, 1582241, 1582242, 1582266, 1582273, 1582274, 1582327, 1582332, 1582340, 1582350, 1582379, 1582395, 1582407, 1582426, 1582427, 1582430, 1582431, 1582443, 1582463, 1582464, 1582469, 1582470, 1582486, 1582494, 1582537, 1582539, 1582542, 1582543, 1582598, 1582601, 1582602, 1582611, 1582612, 1582637, 1582659, 1582673, 1582677, 1582681, 1582695"
Outer membrane lipoprotein carrier protein LolA,RAST2:fig|442.17.peg.2444,41,"1582747, 1582753, 1582765, 1582766, 1582770, 1582789, 1582790, 1582802, 1582811, 1582816, 1582827, 1582837, 1582838, 1582861, 1582868, 1582891, 1582896, 1582923, 1582939, 1582944, 1582945, 1582955, 1582990, 1583005, 1583032, 1583102, 1583109, 1583137, 1583175, 1583187, 1583188, 1583212, 1583219, 1583220, 1583273, 1583278, 1583286, 1583296, 1583325, 1583341, 1583353"
Hypothetical transmembrane iron-regulated protein,RAST2:fig|442.17.peg.2445,68,"1583377, 1583383, 1583395, 1583396, 1583400, 1583419, 1583420, 1583432, 1583441, 1583446, 1583457, 1583467, 1583468, 1583491, 1583498, 1583521, 1583526, 1583553, 1583569, 1583574, 1583575, 1583585, 1583620, 1583635, 1583662, 1583732, 1583739, 1583767, 1583805, 1583817, 1583818, 1583842, 1583849, 1583850, 1583903, 1583908, 1583916, 1583926, 1583955, 1583971, 1583983, 1584002, 1584003, 1584006, 1584007, 1584019, 1584039, 1584040, 1584045, 1584046, 1584062, 1584070, 1584113, 1584115, 1584118, 1584119, 1584174, 1584177, 1584178, 1584187, 1584188, 1584213, 1584235, 1584249, 1584253, 1584257, 1584271, 1584317"
Glutamate--cysteine ligase,RAST2:fig|442.17.peg.2446,121,"1584361, 1584367, 1584379, 1584380, 1584384, 1584403, 1584404, 1584416, 1584425, 1584430, 1584441, 1584451, 1584452, 1584475, 1584482, 1584505, 1584510, 1584537, 1584553, 1584558, 1584559, 1584569, 1584604, 1584619, 1584646, 1584716, 1584723, 1584751, 1584789, 1584801, 1584802, 1584826, 1584833, 1584834, 1584887, 1584892, 1584900, 1584910, 1584939, 1584955, 1584967, 1584986, 1584987, 1584990, 1584991, 1585003, 1585023, 1585024, 1585029, 1585030, 1585046, 1585054, 1585097, 1585099, 1585102, 1585103, 1585158, 1585161, 1585162, 1585171, 1585172, 1585197, 1585219, 1585233, 1585237, 1585241, 1585255, 1585301, 1585374, 1585389, 1585395, 1585411, 1585413, 1585416, 1585417, 1585418, 1585419, 1585428, 1585444, 1585463, 1585464, 1585473, 1585474, 1585488, 1585494, 1585495, 1585497, 1585506, 1585509, 1585522, 1585526, 1585527, 1585546, 1585547, 1585551, 1585555, 1585556, 1585566, 1585567, 1585579, 1585582, 1585583, 1585591, 1585595, 1585596, 1585606, 1585617, 1585620, 1585627, 1585636, 1585638, 1585642, 1585647, 1585658, 1585669, 1585675, 1585685, 1585702, 1585710, 1585711, 1585727"
16S rRNA,RAST2:fig|442.17.peg.2447,52,"1585811, 1585817, 1585829, 1585830, 1585834, 1585853, 1585854, 1585866, 1585875, 1585880, 1585891, 1585901, 1585902, 1585925, 1585932, 1585955, 1585960, 1585987, 1586003, 1586008, 1586009, 1586019, 1586054, 1586069, 1586096, 1586166, 1586173, 1586201, 1586239, 1586251, 1586252, 1586276, 1586283, 1586284, 1586337, 1586342, 1586350, 1586360, 1586389, 1586405, 1586417, 1586436, 1586437, 1586440, 1586441, 1586453, 1586473, 1586474, 1586479, 1586480, 1586496, 1586504"
4-hydroxybenzoate polyprenyltransferase,RAST2:fig|442.17.peg.2448,67,"1586593, 1586599, 1586611, 1586612, 1586616, 1586635, 1586636, 1586648, 1586657, 1586662, 1586673, 1586683, 1586684, 1586707, 1586714, 1586737, 1586742, 1586769, 1586785, 1586790, 1586791, 1586801, 1586836, 1586851, 1586878, 1586948, 1586955, 1586983, 1587021, 1587033, 1587034, 1587058, 1587065, 1587066, 1587119, 1587124, 1587132, 1587142, 1587171, 1587187, 1587199, 1587218, 1587219, 1587222, 1587223, 1587235, 1587255, 1587256, 1587261, 1587262, 1587278, 1587286, 1587329, 1587331, 1587334, 1587335, 1587390, 1587393, 1587394, 1587403, 1587404, 1587429, 1587451, 1587465, 1587469, 1587473, 1587487"
SAM-dependent methyltransferase,RAST2:fig|442.17.peg.2449,46,"1587507, 1587513, 1587525, 1587526, 1587530, 1587549, 1587550, 1587562, 1587571, 1587576, 1587587, 1587597, 1587598, 1587621, 1587628, 1587651, 1587656, 1587683, 1587699, 1587704, 1587705, 1587715, 1587750, 1587765, 1587792, 1587862, 1587869, 1587897, 1587935, 1587947, 1587948, 1587972, 1587979, 1587980, 1588033, 1588038, 1588046, 1588056, 1588085, 1588101, 1588113, 1588132, 1588133, 1588136, 1588137, 1588149"
Uncharacterized MFS-type transporter,RAST2:fig|442.17.peg.2450,122,"1588144, 1588150, 1588162, 1588163, 1588167, 1588186, 1588187, 1588199, 1588208, 1588213, 1588224, 1588234, 1588235, 1588258, 1588265, 1588288, 1588293, 1588320, 1588336, 1588341, 1588342, 1588352, 1588387, 1588402, 1588429, 1588499, 1588506, 1588534, 1588572, 1588584, 1588585, 1588609, 1588616, 1588617, 1588670, 1588675, 1588683, 1588693, 1588722, 1588738, 1588750, 1588769, 1588770, 1588773, 1588774, 1588786, 1588806, 1588807, 1588812, 1588813, 1588829, 1588837, 1588880, 1588882, 1588885, 1588886, 1588941, 1588944, 1588945, 1588954, 1588955, 1588980, 1589002, 1589016, 1589020, 1589024, 1589038, 1589084, 1589157, 1589172, 1589178, 1589194, 1589196, 1589199, 1589200, 1589201, 1589202, 1589211, 1589227, 1589246, 1589247, 1589256, 1589257, 1589271, 1589277, 1589278, 1589280, 1589289, 1589292, 1589305, 1589309, 1589310, 1589329, 1589330, 1589334, 1589338, 1589339, 1589349, 1589350, 1589362, 1589365, 1589366, 1589374, 1589378, 1589379, 1589389, 1589400, 1589403, 1589410, 1589419, 1589421, 1589425, 1589430, 1589441, 1589452, 1589458, 1589468, 1589485, 1589493, 1589494, 1589510, 1589519"
Arabinose-proton symporter,RAST2:fig|442.17.peg.2451,123,"1589537, 1589543, 1589555, 1589556, 1589560, 1589579, 1589580, 1589592, 1589601, 1589606, 1589617, 1589627, 1589628, 1589651, 1589658, 1589681, 1589686, 1589713, 1589729, 1589734, 1589735, 1589745, 1589780, 1589795, 1589822, 1589892, 1589899, 1589927, 1589965, 1589977, 1589978, 1590002, 1590009, 1590010, 1590063, 1590068, 1590076, 1590086, 1590115, 1590131, 1590143, 1590162, 1590163, 1590166, 1590167, 1590179, 1590199, 1590200, 1590205, 1590206, 1590222, 1590230, 1590273, 1590275, 1590278, 1590279, 1590334, 1590337, 1590338, 1590347, 1590348, 1590373, 1590395, 1590409, 1590413, 1590417, 1590431, 1590477, 1590550, 1590565, 1590571, 1590587, 1590589, 1590592, 1590593, 1590594, 1590595, 1590604, 1590620, 1590639, 1590640, 1590649, 1590650, 1590664, 1590670, 1590671, 1590673, 1590682, 1590685, 1590698, 1590702, 1590703, 1590722, 1590723, 1590727, 1590731, 1590732, 1590742, 1590743, 1590755, 1590758, 1590759, 1590767, 1590771, 1590772, 1590782, 1590793, 1590796, 1590803, 1590812, 1590814, 1590818, 1590823, 1590834, 1590845, 1590851, 1590861, 1590878, 1590886, 1590887, 1590903, 1590912, 1590939"
GTP-binding protein EngA,RAST2:fig|442.17.peg.2452,122,"1591080, 1591086, 1591098, 1591099, 1591103, 1591122, 1591123, 1591135, 1591144, 1591149, 1591160, 1591170, 1591171, 1591194, 1591201, 1591224, 1591229, 1591256, 1591272, 1591277, 1591278, 1591288, 1591323, 1591338, 1591365, 1591435, 1591442, 1591470, 1591508, 1591520, 1591521, 1591545, 1591552, 1591553, 1591606, 1591611, 1591619, 1591629, 1591658, 1591674, 1591686, 1591705, 1591706, 1591709, 1591710, 1591722, 1591742, 1591743, 1591748, 1591749, 1591765, 1591773, 1591816, 1591818, 1591821, 1591822, 1591877, 1591880, 1591881, 1591890, 1591891, 1591916, 1591938, 1591952, 1591956, 1591960, 1591974, 1592020, 1592093, 1592108, 1592114, 1592130, 1592132, 1592135, 1592136, 1592137, 1592138, 1592147, 1592163, 1592182, 1592183, 1592192, 1592193, 1592207, 1592213, 1592214, 1592216, 1592225, 1592228, 1592241, 1592245, 1592246, 1592265, 1592266, 1592270, 1592274, 1592275, 1592285, 1592286, 1592298, 1592301, 1592302, 1592310, 1592314, 1592315, 1592325, 1592336, 1592339, 1592346, 1592355, 1592357, 1592361, 1592366, 1592377, 1592388, 1592394, 1592404, 1592421, 1592429, 1592430, 1592446, 1592455"
